Date,APTV
2017-12-08,85.22
2017-12-11,85.89
2017-12-12,85.67
2017-12-13,83.56
2017-12-14,83.05
2017-12-15,84.4
2017-12-18,84.24
2017-12-19,85.62
2017-12-20,85.87
2017-12-21,84.98
2017-12-22,84.79
2017-12-26,84.88
2017-12-27,84.73
2017-12-28,85.56
2017-12-29,84.83
2018-01-02,86.11
2018-01-03,87.54
2018-01-04,88.91
2018-01-05,91.57
2018-01-08,91.93
2018-01-09,92.75
2018-01-10,90.46
2018-01-11,92.06
2018-01-12,92.91
2018-01-16,92.56
2018-01-17,93.56
2018-01-18,93.1
2018-01-19,93.52
2018-01-22,93.55
2018-01-23,92.83
2018-01-24,93.54
2018-01-25,92.49
2018-01-26,94.48
2018-01-29,94.89
2018-01-30,94.63
2018-01-31,94.88
2018-02-01,96.02
2018-02-02,94.21
2018-02-05,91.14
2018-02-06,92.6
2018-02-07,93.69
2018-02-08,89.27
2018-02-09,88.56
2018-02-12,91.44
2018-02-13,90.77
2018-02-14,92.69
2018-02-15,93.33
2018-02-16,92.4
2018-02-20,92.34
2018-02-21,92.55
2018-02-22,92.94
2018-02-23,93.06
2018-02-26,94.72
2018-02-27,92.62
2018-02-28,91.33
2018-03-01,87.77
2018-03-02,88.61
2018-03-05,88.82
2018-03-06,89.95
2018-03-07,89.42
2018-03-08,89.7
2018-03-09,92.27
2018-03-12,91.45
2018-03-13,90.9
2018-03-14,89.3
2018-03-15,88.96
2018-03-16,89.32
2018-03-19,87.89
2018-03-20,87.85
2018-03-21,88.14
2018-03-22,83.79
2018-03-23,81.21
2018-03-26,85.04
2018-03-27,84.33
